NacionalidadeEmbarcacao;Ano Acordo Bilateral;Total Acordo Bilateral;AcordoTipoNavegacao;País;FlagEmbarqueDesembarque
Estrangeiras;2014;2290072;939;Longo Curso;ARGÉLIA;2
Brasilieiras;2014;96775;672;Longo Curso;ARGÉLIA;2
Estrangeiras;2014;10643405;253999;Longo Curso;FRANÇA;2
Brasilieiras;2014;334979;612;Longo Curso;FRANÇA;2
Não Informado;2014;5194;786;Longo Curso;FRANÇA;2
Estrangeiras;2014;169053;097;Longo Curso;POLÔNIA;2
Brasilieiras;2014;652;307;Longo Curso;POLÔNIA;2
Não Informado;2014;788;61;Longo Curso;POLÔNIA;2
Estrangeiras;2014;1133697;92;Longo Curso;PORTUGAL;2
Brasilieiras;2014;5406;599;Longo Curso;PORTUGAL;2
Não Informado;2014;415;13;Longo Curso;PORTUGAL;2
Estrangeiras;2014;950109;873;Longo Curso;ROMÊNIA;2
Não Informado;2014;47;81;Longo Curso;ROMÊNIA;2
Brasilieiras;2014;1024;216;Longo Curso;ROMÊNIA;2
Estrangeiras;2014;2430607;302;Longo Curso;RUSSIA;2
Brasilieiras;2014;50653;911;Longo Curso;RUSSIA;2
Não Informado;2014;639;46;Longo Curso;RUSSIA;2
Estrangeiras;2014;18719567;887;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2014;5713575;3010001;Longo Curso;ESTADOS UNIDOS;2
Não Informado;2014;833938;908;Longo Curso;ESTADOS UNIDOS;2
Estrangeiras;2014;667284;699;Longo Curso;URUGUAI;2
Não Informado;2014;3309;99;Longo Curso;URUGUAI;2
Brasilieiras;2014;104859;115;Longo Curso;URUGUAI;2
Estrangeiras;2014;36247;Interior;URUGUAI;2
Estrangeiras;2015;7607642;2630002;Longo Curso;ARGENTINA;1
Brasilieiras;2015;937037;892;Longo Curso;ARGENTINA;1
Não Informado;2015;131070;465;Longo Curso;ARGENTINA;1
Estrangeiras;2015;4340;602;Interior;ARGENTINA;1
Estrangeiras;2015;9200;809;Longo Curso;BULGÁRIA;1
Brasilieiras;2015;909;151;Longo Curso;BULGÁRIA;1
Não Informado;2015;248;63;Longo Curso;BULGÁRIA;1
Não Informado;2015;39871;495;Longo Curso;CHILE;1
Brasilieiras;2015;245934;413;Longo Curso;CHILE;1
Estrangeiras;2015;2344063;528;Longo Curso;CHILE;1
Estrangeiras;2015;10225241;608;Longo Curso;CHINA;1
Brasilieiras;2015;1139051;592;Longo Curso;CHINA;1
Não Informado;2015;344707;224;Longo Curso;CHINA;1
Estrangeiras;2015;2665540;546;Longo Curso;ALEMANHA;1
Brasilieiras;2015;163798;134;Longo Curso;ALEMANHA;1
Não Informado;2015;31341;09;Longo Curso;ALEMANHA;1
Brasilieiras;2015;357406;022;Longo Curso;ARGÉLIA;1
Estrangeiras;2015;2780226;38;Longo Curso;ARGÉLIA;1
Brasilieiras;2015;41291;112;Longo Curso;FRANÇA;1
Estrangeiras;2015;585619;355;Longo Curso;FRANÇA;1
Não Informado;2015;26967;133;Longo Curso;FRANÇA;1
Estrangeiras;2015;249970;793;Longo Curso;POLÔNIA;1
Brasilieiras;2015;4147;74;Longo Curso;POLÔNIA;1
Não Informado;2015;7870;199;Longo Curso;POLÔNIA;1
Brasilieiras;2015;62514;939;Longo Curso;PORTUGAL;1
Estrangeiras;2015;561962;038;Longo Curso;PORTUGAL;1
Não Informado;2015;986;935;Longo Curso;PORTUGAL;1
Estrangeiras;2015;17830;781;Longo Curso;ROMÊNIA;1
Brasilieiras;2015;1249;218;Longo Curso;ROMÊNIA;1
Estrangeiras;2015;3704267;382;Longo Curso;RUSSIA;1
Brasilieiras;2015;40893;943;Longo Curso;RUSSIA;1
Não Informado;2015;87988;968;Longo Curso;RUSSIA;1
Estrangeiras;2015;23763142;515999;Longo Curso;ESTADOS UNIDOS;1
Brasilieiras;2015;1573970;142;Longo Curso;ESTADOS UNIDOS;1
Não Informado;2015;195515;638;Longo Curso;ESTADOS UNIDOS;1
Estrangeiras;2015;1072064;246;Longo Curso;URUGUAI;1
Não Informado;2015;57039;992;Longo Curso;URUGUAI;1
Brasilieiras;2015;103317;02;Longo Curso;URUGUAI;1
Brasilieiras;2015;581147;339;Longo Curso;ARGENTINA;2
Estrangeiras;2015;6267787;8200001;Longo Curso;ARGENTINA;2
Não Informado;2015;26543;253;Longo Curso;ARGENTINA;2
Estrangeiras;2015;4344785;666;Interior;ARGENTINA;2
Não Informado;2015;12517;Interior;ARGENTINA;2
Brasilieiras;2015;65897;Interior;ARGENTINA;2
Estrangeiras;2015;69450;525;Longo Curso;BULGÁRIA;2
Não Informado;2015;11042;41;Longo Curso;BULGÁRIA;2
Não Informado;2015;9661;799;Longo Curso;CHILE;2
Estrangeiras;2015;1915527;375;Longo Curso;CHILE;2
Brasilieiras;2015;472521;458;Longo Curso;CHILE;2
Estrangeiras;2015;245963492;45896;Longo Curso;CHINA;2
Brasilieiras;2015;4084395;819;Longo Curso;CHINA;2
Não Informado;2015;1194930;307;Longo Curso;CHINA;2
Estrangeiras;2015;8821628;7450002;Longo Curso;ALEMANHA;2
Brasilieiras;2015;380683;809;Longo Curso;ALEMANHA;2
Não Informado;2015;206803;745;Longo Curso;ALEMANHA;2
Estrangeiras;2015;3089516;416;Longo Curso;ARGÉLIA;2
Não Informado;2015;430;315;Longo Curso;ARGÉLIA;2
Brasilieiras;2015;63;167;Longo Curso;ARGÉLIA;2
Brasilieiras;2015;287514;435;Longo Curso;FRANÇA;2
Estrangeiras;2015;8741707;3100001;Longo Curso;FRANÇA;2
Não Informado;2015;2072;32;Longo Curso;FRANÇA;2
Estrangeiras;2015;139818;141;Longo Curso;POLÔNIA;2
Não Informado;2015;1381;185;Longo Curso;POLÔNIA;2
Brasilieiras;2015;172;495;Longo Curso;POLÔNIA;2
Estrangeiras;2015;1316534;338;Longo Curso;PORTUGAL;2
Não Informado;2015;353;08;Longo Curso;PORTUGAL;2
Brasilieiras;2015;45821;397;Longo Curso;PORTUGAL;2
Estrangeiras;2015;1477440;78;Longo Curso;ROMÊNIA;2
Não Informado;2015;239;98;Longo Curso;ROMÊNIA;2
Brasilieiras;2015;35;144;Longo Curso;ROMÊNIA;2
Estrangeiras;2015;2105520;656;Longo Curso;RUSSIA;2
Brasilieiras;2015;167;072;Longo Curso;RUSSIA;2
Não Informado;2015;56;23;Longo Curso;RUSSIA;2
Estrangeiras;2015;19379036;906;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2015;6257078;376;Longo Curso;ESTADOS UNIDOS;2
Não Informado;2015;418977;071;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2015;48615;57;Longo Curso;URUGUAI;2
Estrangeiras;2015;478160;11;Longo Curso;URUGUAI;2
Não Informado;2015;1315;5;Longo Curso;URUGUAI;2
Brasilieiras;2015;6000;Interior;URUGUAI;2
Estrangeiras;2016;9575429;1110001;Longo Curso;ARGENTINA;1
Brasilieiras;2016;849179;82500003;Longo Curso;ARGENTINA;1
Estrangeiras;2016;6420;118;Interior;ARGENTINA;1
Estrangeiras;2016;57806;882;Longo Curso;BULGÁRIA;1
Brasilieiras;2016;3340;617;Longo Curso;BULGÁRIA;1
Estrangeiras;2016;2802824;115;Longo Curso;CHILE;1
Brasilieiras;2016;243650;914;Longo Curso;CHILE;1
Estrangeiras;2016;8659074;7570001;Longo Curso;CHINA;1
Brasilieiras;2016;905827;438;Longo Curso;CHINA;1
Estrangeiras;2016;2367557;57;Longo Curso;ALEMANHA;1
Brasilieiras;2016;177166;616;Longo Curso;ALEMANHA;1
Estrangeiras;2016;3127524;555;Longo Curso;ARGÉLIA;1
Brasilieiras;2016;1389096;042;Longo Curso;ARGÉLIA;1
Estrangeiras;2016;683595;516;Longo Curso;FRANÇA;1
Brasilieiras;2016;75008;796;Longo Curso;FRANÇA;1
Estrangeiras;2016;235245;168;Longo Curso;POLÔNIA;1
Brasilieiras;2016;5661;603;Longo Curso;POLÔNIA;1
Estrangeiras;2016;330937;40000001;Longo Curso;PORTUGAL;1
Brasilieiras;2016;15716;493;Longo Curso;PORTUGAL;1
Estrangeiras;2016;15405;587;Longo Curso;ROMÊNIA;1
Brasilieiras;2016;29;956;Longo Curso;ROMÊNIA;1
Estrangeiras;2016;5489647;764;Longo Curso;RUSSIA;1
Brasilieiras;2016;26328;054;Longo Curso;RUSSIA;1
Estrangeiras;2016;28037330;967002;Longo Curso;ESTADOS UNIDOS;1
Brasilieiras;2016;1458388;7369999;Longo Curso;ESTADOS UNIDOS;1
Estrangeiras;2016;1314082;4269999;Longo Curso;URUGUAI;1
Brasilieiras;2016;251927;47;Longo Curso;URUGUAI;1
Estrangeiras;2016;5119684;2130001;Longo Curso;ARGENTINA;2
Estrangeiras;2016;3213997;Interior;ARGENTINA;2
Brasilieiras;2016;807364;414;Longo Curso;ARGENTINA;2
Brasilieiras;2016;35129;Interior;ARGENTINA;2
Estrangeiras;2016;51558;19;Longo Curso;BULGÁRIA;2
Brasilieiras;2016;382;151;Longo Curso;BULGÁRIA;2
Estrangeiras;2016;2782890;318;Longo Curso;CHILE;2
Brasilieiras;2016;1081757;151;Longo Curso;CHILE;2
Estrangeiras;2016;270390815;26998;Longo Curso;CHINA;2
Brasilieiras;2016;6831535;097;Longo Curso;CHINA;2
Estrangeiras;2016;7447041;1630001;Longo Curso;ALEMANHA;2
Brasilieiras;2016;406416;758;Longo Curso;ALEMANHA;2
Estrangeiras;2016;2265273;397;Longo Curso;ARGÉLIA;2
Brasilieiras;2016;35301;095;Longo Curso;ARGÉLIA;2
Estrangeiras;2016;9302420;213;Longo Curso;FRANÇA;2
Brasilieiras;2016;365073;529;Longo Curso;FRANÇA;2
Estrangeiras;2016;324490;902;Longo Curso;POLÔNIA;2
Brasilieiras;2016;554;7;Longo Curso;POLÔNIA;2
Estrangeiras;2016;1390052;701;Longo Curso;PORTUGAL;2
Brasilieiras;2016;128119;949;Longo Curso;PORTUGAL;2
Estrangeiras;2016;1246914;081;Longo Curso;ROMÊNIA;2
Brasilieiras;2016;132;926;Longo Curso;ROMÊNIA;2
Estrangeiras;2016;2175302;901;Longo Curso;RUSSIA;2
Brasilieiras;2016;63244;018;Longo Curso;RUSSIA;2
Estrangeiras;2016;20121950;869;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2016;4659980;323;Longo Curso;ESTADOS UNIDOS;2
Estrangeiras;2016;426761;667;Longo Curso;URUGUAI;2
Brasilieiras;2016;27909;942;Longo Curso;URUGUAI;2
Estrangeiras;2017;9094177;7630017;Longo Curso;ARGENTINA;1
Brasilieiras;2017;930193;005;Longo Curso;ARGENTINA;1
Estrangeiras;2017;31107;885;Interior;ARGENTINA;1
Brasilieiras;2017;2887;845;Interior;ARGENTINA;1
Estrangeiras;2017;34297;605;Longo Curso;BULGÁRIA;1
Brasilieiras;2017;1042;954;Longo Curso;BULGÁRIA;1
Estrangeiras;2017;2795383;601;Longo Curso;CHILE;1
Brasilieiras;2017;200828;346;Longo Curso;CHILE;1
Brasilieiras;2017;1188966;082;Longo Curso;CHINA;1
Estrangeiras;2017;9174004;0259999;Longo Curso;CHINA;1
Estrangeiras;2017;2695733;359;Longo Curso;ALEMANHA;1
Brasilieiras;2017;240057;495;Longo Curso;ALEMANHA;1
Brasilieiras;2017;1215585;778;Longo Curso;ARGÉLIA;1
Estrangeiras;2017;3720918;181;Longo Curso;ARGÉLIA;1
Estrangeiras;2017;633410;148;Longo Curso;FRANÇA;1
Brasilieiras;2017;113570;774;Longo Curso;FRANÇA;1
Estrangeiras;2017;290393;248;Longo Curso;POLÔNIA;1
Brasilieiras;2017;6503;41;Longo Curso;POLÔNIA;1
Estrangeiras;2017;689675;47499999;Longo Curso;PORTUGAL;1
Brasilieiras;2017;46978;05;Longo Curso;PORTUGAL;1
Estrangeiras;2017;118838;112;Longo Curso;ROMÊNIA;1
Brasilieiras;2017;557;638;Longo Curso;ROMÊNIA;1
Estrangeiras;2017;5790933;107;Longo Curso;RUSSIA;1
Brasilieiras;2017;167031;691;Longo Curso;RUSSIA;1
Estrangeiras;2017;34271057;888997;Longo Curso;ESTADOS UNIDOS;1
Brasilieiras;2017;1659331;4739999;Longo Curso;ESTADOS UNIDOS;1
Estrangeiras;2017;893614;88800002;Longo Curso;URUGUAI;1
Brasilieiras;2017;266122;85;Longo Curso;URUGUAI;1
Estrangeiras;2017;7627004;5479999;Longo Curso;ARGENTINA;2
Brasilieiras;2017;743958;297;Longo Curso;ARGENTINA;2
Estrangeiras;2017;4027293;385;Interior;ARGENTINA;2
Brasilieiras;2017;74956;63;Interior;ARGENTINA;2
Brasilieiras;2017;563;87;Longo Curso;BULGÁRIA;2
Estrangeiras;2017;19699;851;Longo Curso;BULGÁRIA;2
Estrangeiras;2017;2798163;09;Longo Curso;CHILE;2
Brasilieiras;2017;1337556;72;Longo Curso;CHILE;2
Estrangeiras;2017;301945291;28302;Longo Curso;CHINA;2
Brasilieiras;2017;5300047;326;Longo Curso;CHINA;2
Estrangeiras;2017;5771716;772;Longo Curso;ALEMANHA;2
Brasilieiras;2017;514733;664;Longo Curso;ALEMANHA;2
Estrangeiras;2017;2553825;751;Longo Curso;ARGÉLIA;2
Brasilieiras;2017;108601;622;Longo Curso;ARGÉLIA;2
Estrangeiras;2017;10173783;967;Longo Curso;FRANÇA;2
Brasilieiras;2017;236720;405;Longo Curso;FRANÇA;2
Estrangeiras;2017;1407674;877;Longo Curso;POLÔNIA;2
Brasilieiras;2017;519;413;Longo Curso;POLÔNIA;2
Estrangeiras;2017;1658154;022;Longo Curso;PORTUGAL;2
Brasilieiras;2017;404397;975;Longo Curso;PORTUGAL;2
Estrangeiras;2017;1074334;708;Longo Curso;ROMÊNIA;2
Brasilieiras;2017;169747;859;Longo Curso;ROMÊNIA;2
Estrangeiras;2017;2001902;283;Longo Curso;RUSSIA;2
Brasilieiras;2017;518;234;Longo Curso;RUSSIA;2
Estrangeiras;2017;24791004;512;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2017;3645251;019;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2017;105899;554;Longo Curso;URUGUAI;2
Estrangeiras;2017;664218;158;Longo Curso;URUGUAI;2
Estrangeiras;2017;340294;Interior;URUGUAI;2
Brasilieiras;2018;1620833;9720002;Longo Curso;ARGENTINA;1
Estrangeiras;2018;9718801;5060003;Longo Curso;ARGENTINA;1
Estrangeiras;2018;49397;92;Longo Curso;BULGÁRIA;1
Brasilieiras;2018;908;595;Longo Curso;BULGÁRIA;1
Brasilieiras;2018;215207;174;Longo Curso;CHILE;1
Estrangeiras;2018;2271441;35;Longo Curso;CHILE;1
Estrangeiras;2018;10781785;621;Longo Curso;CHINA;1
Brasilieiras;2018;1261805;325;Longo Curso;CHINA;1
Brasilieiras;2018;119786;762;Longo Curso;ALEMANHA;1
Estrangeiras;2018;2480171;8259999;Longo Curso;ALEMANHA;1
Estrangeiras;2018;3861738;828;Longo Curso;ARGÉLIA;1
Brasilieiras;2018;613145;716;Longo Curso;ARGÉLIA;1
Estrangeiras;2018;677885;34300002;Longo Curso;FRANÇA;1
Brasilieiras;2018;162411;33;Longo Curso;FRANÇA;1
Estrangeiras;2018;314161;701;Longo Curso;POLÔNIA;1
Brasilieiras;2018;5936;891;Longo Curso;POLÔNIA;1
Estrangeiras;2018;449926;76;Longo Curso;PORTUGAL;1
Brasilieiras;2018;44820;876;Longo Curso;PORTUGAL;1
Estrangeiras;2018;120891;504;Longo Curso;ROMÊNIA;1
Brasilieiras;2018;466;15;Longo Curso;ROMÊNIA;1
Estrangeiras;2018;7007487;612;Longo Curso;RUSSIA;1
Brasilieiras;2018;49861;733;Longo Curso;RUSSIA;1
Brasilieiras;2018;2633973;844;Longo Curso;ESTADOS UNIDOS;1
Estrangeiras;2018;32397259;617988;Longo Curso;ESTADOS UNIDOS;1
Estrangeiras;2018;732377;0249999;Longo Curso;URUGUAI;1
Brasilieiras;2018;165647;905;Longo Curso;URUGUAI;1
Estrangeiras;2018;6324907;6209996;Longo Curso;ARGENTINA;2
Brasilieiras;2018;1415566;785;Longo Curso;ARGENTINA;2
Estrangeiras;2018;3814135;003;Interior;ARGENTINA;2
Brasilieiras;2018;1770;Interior;ARGENTINA;2
Estrangeiras;2018;48780;265;Longo Curso;BULGÁRIA;2
Brasilieiras;2018;739;91;Longo Curso;BULGÁRIA;2
Estrangeiras;2018;3894648;14;Longo Curso;CHILE;2
Brasilieiras;2018;662183;191;Longo Curso;CHILE;2
Estrangeiras;2018;332624095;32802;Longo Curso;CHINA;2
Brasilieiras;2018;3147063;077;Longo Curso;CHINA;2
Estrangeiras;2018;5619108;5770003;Longo Curso;ALEMANHA;2
Brasilieiras;2018;380818;575;Longo Curso;ALEMANHA;2
Estrangeiras;2018;3061076;891;Longo Curso;ARGÉLIA;2
Brasilieiras;2018;37848;159;Longo Curso;ARGÉLIA;2
Estrangeiras;2018;8694943;085;Longo Curso;FRANÇA;2
Brasilieiras;2018;27375;974;Longo Curso;FRANÇA;2
Brasilieiras;2018;2361;835;Longo Curso;POLÔNIA;2
Estrangeiras;2018;2005672;172;Longo Curso;POLÔNIA;2
Estrangeiras;2018;2454471;014;Longo Curso;PORTUGAL;2
Brasilieiras;2018;161961;053;Longo Curso;PORTUGAL;2
Estrangeiras;2018;1464581;084;Longo Curso;ROMÊNIA;2
Brasilieiras;2018;110963;125;Longo Curso;ROMÊNIA;2
Estrangeiras;2018;2045348;568;Longo Curso;RUSSIA;2
Brasilieiras;2018;4170;463;Longo Curso;RUSSIA;2
Brasilieiras;2018;2687351;363;Longo Curso;ESTADOS UNIDOS;2
Estrangeiras;2018;26339289;955;Longo Curso;ESTADOS UNIDOS;2
Estrangeiras;2018;459728;86900001;Longo Curso;URUGUAI;2
Brasilieiras;2018;47761;699;Longo Curso;URUGUAI;2
Estrangeiras;2018;257747;136;Interior;URUGUAI;2
