NacionalidadeEmbarcacao;Ano Acordo Bilateral;Total Acordo Bilateral;AcordoTipoNavegacao;País;FlagEmbarqueDesembarque
Brasilieiras;2010;575;743;Longo Curso;RUSSIA;2
Estrangeiras;2010;5415648;511;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2010;1090713;716;Longo Curso;ESTADOS UNIDOS;2
Não Informado;2010;5156958;0229995;Longo Curso;ESTADOS UNIDOS;2
;2010;6582360;471;Longo Curso;ESTADOS UNIDOS;2
;2010;113459;442;Longo Curso;URUGUAI;2
Estrangeiras;2010;121982;518;Longo Curso;URUGUAI;2
Brasilieiras;2010;34840;557;Longo Curso;URUGUAI;2
Não Informado;2010;132484;023;Longo Curso;URUGUAI;2
Não Informado;2010;5766;868;Interior;URUGUAI;2
Brasilieiras;2010;22820;735;Interior;URUGUAI;2
Estrangeiras;2011;7328652;7949984;Longo Curso;ARGENTINA;1
Brasilieiras;2011;1048820;5129997;Longo Curso;ARGENTINA;1
Não Informado;2011;1320289;7750001;Longo Curso;ARGENTINA;1
Não Informado;2011;3597;57;Interior;ARGENTINA;1
Estrangeiras;2011;4939;293;Interior;ARGENTINA;1
Brasilieiras;2011;2998;51;Interior;ARGENTINA;1
Estrangeiras;2011;73881;586;Longo Curso;BULGÁRIA;1
Não Informado;2011;82832;876;Longo Curso;BULGÁRIA;1
Brasilieiras;2011;8917;3;Longo Curso;BULGÁRIA;1
Brasilieiras;2011;348198;945;Longo Curso;CHILE;1
Não Informado;2011;634470;598;Longo Curso;CHILE;1
Estrangeiras;2011;2129963;145;Longo Curso;CHILE;1
Estrangeiras;2011;7184381;7499999;Longo Curso;CHINA;1
Brasilieiras;2011;1440995;649;Longo Curso;CHINA;1
Não Informado;2011;2583709;572;Longo Curso;CHINA;1
Estrangeiras;2011;2411358;13;Longo Curso;ALEMANHA;1
Não Informado;2011;356850;14;Longo Curso;ALEMANHA;1
Brasilieiras;2011;157047;719;Longo Curso;ALEMANHA;1
Estrangeiras;2011;2474493;666;Longo Curso;ARGÉLIA;1
Não Informado;2011;661891;548;Longo Curso;ARGÉLIA;1
Brasilieiras;2011;153759;917;Longo Curso;ARGÉLIA;1
Brasilieiras;2011;42777;346;Longo Curso;FRANÇA;1
Estrangeiras;2011;491755;551;Longo Curso;FRANÇA;1
Não Informado;2011;68998;528;Longo Curso;FRANÇA;1
Estrangeiras;2011;224920;899;Longo Curso;POLÔNIA;1
Não Informado;2011;100713;619;Longo Curso;POLÔNIA;1
Brasilieiras;2011;2908;527;Longo Curso;POLÔNIA;1
Não Informado;2011;383601;471;Longo Curso;PORTUGAL;1
Estrangeiras;2011;527582;439;Longo Curso;PORTUGAL;1
Brasilieiras;2011;19524;999;Longo Curso;PORTUGAL;1
Estrangeiras;2011;2485;338;Longo Curso;ROMÊNIA;1
Não Informado;2011;2577;455;Longo Curso;ROMÊNIA;1
Brasilieiras;2011;597;702;Longo Curso;ROMÊNIA;1
Brasilieiras;2011;48369;993;Longo Curso;RUSSIA;1
Estrangeiras;2011;3216796;557;Longo Curso;RUSSIA;1
Não Informado;2011;542975;426;Longo Curso;RUSSIA;1
Estrangeiras;2011;22965046;684;Longo Curso;ESTADOS UNIDOS;1
Brasilieiras;2011;1460601;98;Longo Curso;ESTADOS UNIDOS;1
Não Informado;2011;2620653;729;Longo Curso;ESTADOS UNIDOS;1
Estrangeiras;2011;983828;82799999;Longo Curso;URUGUAI;1
Brasilieiras;2011;178022;16400001;Longo Curso;URUGUAI;1
Não Informado;2011;201017;539;Longo Curso;URUGUAI;1
Estrangeiras;2011;3749;188;Interior;URUGUAI;1
Não Informado;2011;7567;214;Interior;URUGUAI;1
Não Informado;2011;770669;16100001;Longo Curso;ARGENTINA;2
Estrangeiras;2011;7812971;664;Longo Curso;ARGENTINA;2
Brasilieiras;2011;660600;376;Longo Curso;ARGENTINA;2
Estrangeiras;2011;4250984;Interior;ARGENTINA;2
Não Informado;2011;1052519;982;Interior;ARGENTINA;2
Brasilieiras;2011;39839;Interior;ARGENTINA;2
Não Informado;2011;9239;276;Longo Curso;BULGÁRIA;2
Estrangeiras;2011;27585;57;Longo Curso;BULGÁRIA;2
Brasilieiras;2011;9424;884;Longo Curso;BULGÁRIA;2
Brasilieiras;2011;103228;574;Longo Curso;CHILE;2
Estrangeiras;2011;2592045;633;Longo Curso;CHILE;2
Não Informado;2011;49895;599;Longo Curso;CHILE;2
Brasilieiras;2011;1716726;735;Longo Curso;CHINA;2
Não Informado;2011;4826182;1809996;Longo Curso;CHINA;2
Estrangeiras;2011;187584435;38499;Longo Curso;CHINA;2
Não Informado;2011;783269;34900001;Longo Curso;ALEMANHA;2
Estrangeiras;2011;6597381;857;Longo Curso;ALEMANHA;2
Brasilieiras;2011;303638;459;Longo Curso;ALEMANHA;2
Estrangeiras;2011;2511829;918;Longo Curso;ARGÉLIA;2
Não Informado;2011;186269;415;Longo Curso;ARGÉLIA;2
Brasilieiras;2011;146467;12;Longo Curso;ARGÉLIA;2
Estrangeiras;2011;10266482;37;Longo Curso;FRANÇA;2
Não Informado;2011;1020674;529;Longo Curso;FRANÇA;2
Brasilieiras;2011;300979;898;Longo Curso;FRANÇA;2
Não Informado;2011;16345;242;Longo Curso;POLÔNIA;2
Estrangeiras;2011;121487;196;Longo Curso;POLÔNIA;2
Brasilieiras;2011;12170;311;Longo Curso;POLÔNIA;2
Estrangeiras;2011;1736409;501;Longo Curso;PORTUGAL;2
Brasilieiras;2011;15989;834;Longo Curso;PORTUGAL;2
Não Informado;2011;228383;924;Longo Curso;PORTUGAL;2
Estrangeiras;2011;1084983;392;Longo Curso;ROMÊNIA;2
Não Informado;2011;36401;528;Longo Curso;ROMÊNIA;2
Brasilieiras;2011;32;05;Longo Curso;ROMÊNIA;2
Não Informado;2011;1276770;752;Longo Curso;RUSSIA;2
Estrangeiras;2011;2517478;493;Longo Curso;RUSSIA;2
Brasilieiras;2011;16967;105;Longo Curso;RUSSIA;2
Estrangeiras;2011;15115262;396;Longo Curso;ESTADOS UNIDOS;2
Não Informado;2011;3002693;092;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2011;3253889;489;Longo Curso;ESTADOS UNIDOS;2
Estrangeiras;2011;379746;674;Longo Curso;URUGUAI;2
Não Informado;2011;251036;878;Longo Curso;URUGUAI;2
Brasilieiras;2011;156870;219;Longo Curso;URUGUAI;2
Estrangeiras;2011;12520;022;Interior;URUGUAI;2
Não Informado;2011;25074;558;Interior;URUGUAI;2
Brasilieiras;2012;1417021;295;Longo Curso;ARGENTINA;1
Estrangeiras;2012;8188848;1439985;Longo Curso;ARGENTINA;1
Não Informado;2012;306199;46499998;Longo Curso;ARGENTINA;1
Estrangeiras;2012;14868;64;Interior;ARGENTINA;1
Brasilieiras;2012;4541;81;Interior;ARGENTINA;1
Brasilieiras;2012;441;316;Longo Curso;BULGÁRIA;1
Estrangeiras;2012;136847;28;Longo Curso;BULGÁRIA;1
Estrangeiras;2012;2312899;669;Longo Curso;CHILE;1
Brasilieiras;2012;425078;654;Longo Curso;CHILE;1
Não Informado;2012;4610;849;Longo Curso;CHILE;1
Estrangeiras;2012;7769312;4079998;Longo Curso;CHINA;1
Brasilieiras;2012;2190195;593;Longo Curso;CHINA;1
Não Informado;2012;828145;40999999;Longo Curso;CHINA;1
